A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
12.500	14.200	7.900	16.600	10.200	20.600	13.500	10.600	12.800	13.800	17.000	11.200
12.200	14.000	7.900	12.500	10.200	16.100	13.000	9.500	11.200	10.000	16.300	10.900
11.900	13.800	7.500	12.300	10.000	13.500	9.500	9.600	11.000	10.000	16.000	10.500
11.700	13.700	7.500	12.400	10.000	12.700	9.400	9.400	10.900	9.400	15.300	10.000
5.200	13.700	7.200	11.600	9.600	12.500	9.300	9.200	10.800	9.300	11.000	9.200
5.200	13.200	7.200	11.200	9.500	10.900	8.900	8.500	10.300	9.300	10.600	9.100
5.200	12.500	7.200	10.300	9.500	10.400	8.200	8.300	10.300	4.500	10.300	8.800
4.900	12.300	7.100	10.100	9.500	9.500	7.500	8.300	10.000	4.400	9.400	7.900
3.900	11.800	7.000	9.400	9.000	9.500	7.300	7.900	10.000	4.100	9.300	7.700
3.500	11.800	6.900	9.400	9.000	9.400	7.200	7.800	9.500	3.200	7.900	7.500
3.100	10.200	6.500	6.400	9.000	9.800	7.200	7.800	9.400	3.200	7.200	7.400
2.100	9.500	6.500	5.900	8.500	9.200	7.000	5.900	9.300	3.100	7.200	6.300
2.200	9.300	6.500	5.000	8.500	8.900	6.500	5.200	9.200	3.000	7.200	6.200
2.100	9.300	6.400	4.300	8.500	8.700	6.200	4.300	9.200	3.000	6.300	5.400
1.900	9.200	6.200	2.000	8.200	8.200	5.800	4.100	7.900	2.800	6.000	5.200
1.900	9.200	5.800	1.900	7.600	7.900	5.200	4.100	7.500	2.700	5.800	5.100
1.900	9.100	5.300	1.500	7.000	7.600	4.700	2.100	6.900	2.400	4.200	4.900
1.800	3.200	5.300	1.200	6.500	7.200	3.000	1.900	6.900	2.300	2.300	4.500
1.400	1.800	5.300	1.100	2.100	6.100	1.400	1.700	6.500	2.300	2.100	4.200
1.400	1.200	5.100	0.900	2.000	4.200	0.500	1.400	4.200	2.300	1.500	3.500
