Firma;Stitz Registergericht;Bundesland;Branchencode (1);Bilanzsumme;Anzahl MA;fixe Quote;Mitgliederzahl Aufsichtsrat;Davon Frauen;Boersennotiert
11 88 0 Solutions AG;Essen;NW;62.0;19553000;571;nein;5;1;1
3M Deutschland GmbH;Neuss;NW;20;1791989000;6171;nein;11;0;0
50Hertz Transmission GmbH;Berlin;BE;35.1;0;0;nein;6;1;0
A. D. U. Gebäudeservice Urban GmbH;Paderborn;NW;81.21;0;0;nein;0;0;0
A.S. Création Tapeten AG;Gummersbach;NW;17.24.0;128649691;708;nein;6;1;1
AachenMünchener Lebensversicherung AG;Aachen;NW;65.11;0;0;nein;9;1;0
AachenMünchener Versicherung AG;Aachen;NW;65.1;0;0;nein;9;2;0
aap Implantate AG;Berlin;BE;32.50.1;42221000;130;nein;3;1;1
Aareal Bank AG;Wiesbaden;HE;64.19;42687000000;2764;nein;12;4;1
Aareon AG;Mainz;RP;70.10;265018000;1442;nein;4;1;0
ABB AG;Mannheim;BW;64.20;2316007000;9431;nein;16;4;0
ABB Automation GmbH;Mannheim;BW;28.99;0;0;nein;6;2;0
ABB Automation Products GmbH;Ladenburg;BW;26. Nov;0;0;nein;6;2;0
Abbott Laboratories GmbH;Hannover;NI;0;0;0;nein;6;2;0
ABG FRANKFURT HOLDING Wohnungsbau- und Beteiligungsgesellschaft mit beschränkter Haftung;Frankfurt am Main;HE;68.1;2556170681;778;nein;21;9;0
Acciona Airport Services Frankfurt GmbH;Düsseldorf;HE;52.23.9;21973244;923;nein;0;0;0
AccorInvest Germany GmbH;München;BY;55.10.1;581726533;4243;nein;12;2;0
Actemium Cegelec GmbH;Frankfurt am Main;HE;71.12.2;0;0;nein;3;0;0
ADAC SE;München;BY;64.20.0;2164828080;3424;nein;6;1;0
Adam Opel GmbH;Rüsselsheim am Main;HE;70.10.9;0;0;nein;20;3;0
adesso AG;Dortmund;NW;62.02;202812000;2401;nein;6;0;1
adidas AG;Fürth;BY;46.41;14522000000;56577;ja;20;4;
Adler Modemärkte AG;Aschaffenburg;BY;14. Jan;241133000;3542;ja;12;4;
ADM Hamburg Aktiengesellschaft;Hamburg;HH;10.41.0;192503185;491;nein;3;0;0
ADVA Optical Networking SE;Meiningen;TH;27.90;486538000;1831;nein;3;1;1
AGCO GmbH;Marktoberdorf;BY;28.30.0;2063852000;5867;nein;12;1;0
Agfa HealthCare GmbH;Bonn;NW;71.1;0;0;nein;3;1;0
Agfa-Gevaert HealthCare GmbH;Düsseldorf;NW;26.70.0;0;0;nein;6;1;0
Agility Logistics GmbH;Hamburg;HH;52.29.1;0;0;nein;0;0;0
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mit beschränkter Haftung;Herten;NW;38.2;385016114;827;nein;18;5;0
AGRAVIS RAIFFEISEN AG;Hannover und Münster;NW;46.90.1;1940566000;6112;nein;20;6;0
Ahlers AG;Herford;NW;14. Jan;172179000;2122;nein;5;2;1
Airbus Defence and Space GmbH;Ottobrunn;BY;30.30.0;1,14E+11;129442;nein;16;2;0
AIRBUS HELICOPTERS DEUTSCHLAND GmbH;Donauwörth;BY;30.30.0;0;0;nein;12;1;0
Airbus Operations GmbH;Hamburg;HH;30.30.0;0;0;nein;20;2;0
AIXTRON SE;Herzogenrath;NW;26;538861000;594;nein;6;1;1
Aktienbrauerei Kaufbeuren Aktiengesellschaft;Kaufbeuren;BY;68.20;0;0;nein;3;1;1
AL-KO KOBER SE;Kötz, Landkreis Günzburg;BY;70.10;723467830;1996;nein;9;0;0
Albemarle Germany GmbH;Frankfurt am Main;HE;46.75;0;0;nein;6;2;0
Albtal-Verkehrs-Gesellschaft mbH;Karlsruhe;BW;70.10;0;0;nein;15;1;0
Aleris Rolled Products Germany GmbH;Koblenz;RP;24.42.0;2163;0;nein;6;0;0
Alexanderwerk Aktiengesellschaft;Remscheid;NW;28.29;24511084;97;nein;3;0;1
All for One Group AG;Filderstadt;BW;62;183175000;1436;nein;6;1;1
ALLGAIER WERKE GmbH;Uhingen;BW;25.73;290447771;1636;nein;3;0;0
Alliance Healthcare Deutschland AG;Frankfurt am Main;HE;21.20.0;952785000;3676;nein;12;4;0
Allianz Beratungs- und Vertriebs-AG;München;BY;65;0;0;nein;12;4;0
Allianz Deutschland AG;München;BY;70.10.1;0;0;nein;20;6;0
Allianz Global Corporate & Specialty SE;München;BY;65;0;0;nein;6;4;0
Allianz Global Investors GmbH;Frankfurt am Main;HE;70.10;0;0;nein;6;3;0
Allianz Lebensversicherungs-Aktiengesellschaft;Stuttgart;BW;65.11.0;0;0;nein;6;1;0
Allianz SE;München;BY;65.2;9,01E+11;40149;ja;12;4;
Allianz Technology SE;München;BY;62.0;0;0;nein;6;3;0
Allianz Versicherungs-Aktiengesellschaft;München;BY;65;0;0;nein;6;3;0
Allweiler GmbH;Radolfzell am Bodensee;BW;24. Mai;0;0;nein;6;2;0
ALOIS KOBER GMBH;Kötz;BY;28;205319277;2353;nein;0;0;0
Alte Leipziger Lebensversicherung auf Gegenseitigkeit;Oberursel (Taunus);HE;65.11.0;27946894000;1800;nein;9;3;0
Alte Leipziger Versicherung Aktiengesellschaft;Oberursel (Taunus);HE;65;0;0;nein;6;2;0
ALUMINIUM NORF Gesellschaft mit beschränkter Haftung;Neuss-Norf;NW;25;0;0;nein;12;3;0
AlzChem AG;Trostberg;BY;71.12.1;263874000;1344;nein;6;1;0
AlzChem Trostberg GmbH;Trostberg;BY;46.46.1;0;0;nein;6;1;0
Amadeus Data Processing GmbH;Erding;BY;63.11.0;0;0;nein;0;0;0
AMADEUS FIRE AG;Frankfurt am Main;HE;78.3;78017000;2723;ja;12;4;
Amcor Flexibles Singen GmbH;Singen Hohentwiel;BW;22.22.0;0;0;nein;6;1;0
Amper Kliniken Aktiengesellschaft;Dachau;BY;86.10.1;0;0;nein;9;3;0
Amprion GmbH;Dortmund;NW;35.12.0;0;0;nein;12;1;0
AOK Systems GmbH;Bonn;NW;62.01.1;0;0;nein;3;1;0
Aon Holding Deutschland GmbH;Hamburg;HH;66;272724942;1189;nein;3;1;0
APEP GmbH;Oberursel (Taunus);HE;64.20.0;376055000;2183;nein;0;0;0
apetito Aktiengesellschaft;Rheine;NW;Okt 85;420413000;2875;nein;9;0;0
ARAG SE;Düsseldorf;NW;65.12.2;0;0;nein;9;1;0
ArcelorMittal Bremen GmbH;Bremen;HB;24.10.2000;0;0;nein;15;2;0
ArcelorMittal Duisburg Service GmbH;Duisburg;NW;82.99.9;0;0;nein;12;2;0
ArcelorMittal Eisenhüttenstadt GmbH;Eisenhüttenstadt;BR;24.10.2000;0;0;nein;15;2;0
ArcelorMittal Hochfeld GmbH;Duisburg;NW;24. Okt;0;0;nein;12;1;0
Ardagh Metal Beverage Germany GmbH;Bonn;NW;25.92;0;0;nein;6;0;0
ARLANXEO Deutschland GmbH;Dormagen;NW;20;0;0;nein;3;0;0
ARYZTA Bakeries Deutschland GmbH;Lutherstadt, Eisleben;ST;10.89.0;0;0;nein;3;0;0
ARZ Haan AG;Haan;NW;70;210034406;650;nein;6;0;0
AstraZeneca GmbH;Wedel;SH;21.20.0;0;0;nein;3;2;0
ATLAS Dienstleistungen für Vermögensberatung GmbH;Frankfurt am Main;HE;66;0;0;nein;3;0;0
ATLAS ELEKTRONIK GmbH;Bremen;HB;26;731404000;2177;nein;9;1;0
Atos Information Technology GmbH;München;BY;64.20.0;0;0;nein;16;5;0
ATOSS Software AG;München;BY;46.51;47150093;413;nein;3;0;1
AUDI Aktiengesellschaft;Ingolstadt;BY;29. Jan;63680000000;58144;ja;18;1;
Aurubis AG;Hamburg;HH;24.41;4361019000;6216;ja;12;2;
Automotive Lighting Brotterode GmbH;Brotterode-Trusetal;TH;45.31.0;0;0;nein;3;0;0
Automotive Lighting Reutlingen GmbH;Reutlingen;BW;27.40.0;0;0;nein;3;0;0
Avacon AG;Helmstedt;NI;35.2;0;0;nein;20;5;0
Aventics GmbH;Laatzen;NI;71.12.2;0;0;nein;3;0;0
Aves One AG;Hamburg;HH;70.10;923678000;40;nein;4;1;1
avitea GmbH work and more;Lippstadt;NW;96.09;0;0;nein;0;0;0
Avnet Logistics GmbH;Poing;BY;49.41.0;0;0;nein;3;0;0
AWB Abfallwirtschaftsbetriebe Köln GmbH;Köln;NW;38.1;0;0;nein;15;3;0
AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH;Düsseldorf;NW;38.1;0;0;nein;15;2;0
AXA Konzern Aktiengesellschaft;Köln;NW;64.20;76435000000;9615;nein;16;7;0
AZURIT Catering GmbH;Eisenberg;RP;56;0;0;nein;0;0;0
B. Metzler seel. Sohn & Co. Holding Aktiengesellschaft;Frankfurt am Main;HE;64.20.0;3922378794;855;nein;3;0;0
BAG Bankaktiengesellschaft;Hamm;NW;64.19.4;434260433;249;nein;15;2;0
BALLUFF GmbH;Neuhausen auf den Fildern;BW;26. Dez;0;0;nein;3;0;0
BAM Deutschland AG;Stuttgart;BW;78.20;0;0;nein;3;1;0
BANKPOWER GmbH Personaldienstleistungen;Frankfurt am Main;HE;78;0;0;nein;3;1;0
Barmenia Allgemeine Versicherungs-Aktiengesellschaft;Wuppertal;NW;65.12.2;0;0;nein;6;1;0
Barmenia Krankenversicherung a.G.;Wuppertal;NW;65.12.1;10761087000;1875;nein;6;2;0
Barmenia Lebensversicherung a.G.;Wuppertal;NW;65.11.0;0;0;nein;6;2;0
Basell Polyolefine GmbH;Wesseling;NW;20.16.0;0;0;nein;12;2;0
BASF Schwarzheide GmbH;Schwarzheide;BR;20.14;0;0;nein;9;1;0
BASF SE;Ludwigshafen a.Rhein (Ludwigshafen);RP;61;49439000000;53390;ja;12;3;
Basler Aktiengesellschaft;Ahrensburg;SH;26. Mai;138954000;642;nein;6;2;1
Basler Lebensversicherungs-Aktiengesellschaft;Hamburg;HH;65.11.0;0;0;nein;6;1;0
Basler Sachversicherungs-Aktiengesellschaft;Bad Homburg v.d.Höhe;HE;65.12.2;0;0;nein;6;1;0
Bastei Lübbe AG;Köln;NW;32.99.0;101485000;584;nein;3;0;1
BAUER Aktiengesellschaft;Ingolstadt;BY;28;1617703000;3921;ja;12;2;
BAUER Maschinen GmbH;Schrobenhausen;BY;28.92.2;0;0;nein;3;0;0
BAUER Spezialtiefbau GmbH;Schrobenhausen;BY;43.99.9;0;0;nein;3;0;0
Bauknecht Hausgeräte GmbH;Stuttgart;BW;27.51;0;0;nein;3;1;0
Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken -;Schwäbisch Hall;BW;64.19.6;68336768;3214;nein;20;6;0
Bayer Aktiengesellschaft;Köln;NW;21;75087000000;99762;ja;20;4;
Bayer Business Services GmbH;Leverkusen;NW;96.09;0;0;nein;12;4;0
Bayer CropScience Aktiengesellschaft;Monheim am Rhein;NW;70.10;0;0;nein;12;2;0
Bayer Gastronomie GmbH;Leverkusen;NW;55.1;0;0;nein;3;1;0
Bayer Pharma Aktiengesellschaft;Berlin;BE;01. Jun;0;0;nein;16;3;0
Bayer Vital GmbH;Leverkusen;NW;46.75;0;0;nein;3;0;0
Bayerische Beamtenkrankenkasse Aktiengesellschaft;München;BY;65.12.1;0;0;nein;15;2;0
Bayerische Landesbrandversicherung Aktiengesellschaft;München;BY;65;0;0;nein;18;3;0
Bayerische Milchindustrie eG;Landshut;BY;Okt 51;197465601;1058;nein;24;4;0
Bayerische Motoren Werke Aktiengesellschaft;München;BY;29. Jan;1,93E+11;127524;ja;20;5;
Bayerischer Versicherungsverband Versicherungsaktiengesellschaft;München;BY;65.1;0;0;nein;18;3;0
BAYERNOIL Raffineriegesellschaft mbH;Vohburg;BY;19. Feb;0;0;nein;6;0;0
Bayernwerk AG;Regensburg;BY;35.1;0;0;nein;20;2;0
BayWa Aktiengesellschaft;München;BY;46.73.1;6474857000;16960;ja;16;2;
BBBank eG;Karlsruhe;BW;64.19.3;0;0;nein;15;6;0
BBI Bürgerliches Brauhaus Immobilien Aktiengesellschaft;Ingolstadt;BY;68;0;0;nein;3;0;1
BCD Travel Germany GmbH;Bremen;HB;79.11;1131545000;10996;nein;12;3;0
BCS Automotive Interface Solutions GmbH;Radolfzell am Bodensee;BW;46.52;0;0;nein;3;0;0
BDO AG Wirtschaftsprüfungsgesellschaft;Hamburg;HH;69.20.1;143999000;1750;nein;6;3;0
BearingPoint GmbH;Frankfurt am Main;HE;70.22.0;0;0;nein;6;2;0
Bechtle Aktiengesellschaft;Stuttgart;BW;62.03;1443384000;5682;ja;12;3;
Beiersdorf Aktiengesellschaft;Hamburg;HH;20.41;7573000000;17846;ja;12;3;
Benteler Automobiltechnik GmbH;Paderborn;NW;25. Sep;0;0;nein;12;2;0
Benteler Steel/Tube GmbH;Paderborn;NW;24.20;0;0;nein;12;2;0
BERDING BETON GmbH;Steinfeld;NI;23.69;0;0;nein;0;0;0
Berentzen-Gruppe Aktiengesellschaft;Haselünne;NI;46;144979000;465;nein;9;1;1
Berlin Hyp AG;Berlin;BE;64.19.4;0;0;nein;15;2;0
BERLIN-CHEMIE Aktiengesellschaft;Berlin;BE;21. Feb;3801672000;16722;nein;6;1;0
Berliner Volksbank eG;Berlin;BE;64.19.3;13394807044;1987;nein;16;3;0
Bertrandt Aktiengesellschaft;Ehningen;BW;71.12.2;788395000;12302;nein;6;2;1
Bethmann Bank AG;Frankfurt am Main;HE;64.19.1;0;0;nein;6;4;0
BGV-Versicherung Aktiengesellschaft;Karlsruhe;BW;65.12.2;0;0;nein;15;3;0
BHS tabletop Aktiengesellschaft;Selb;BY;46.44;119757000;1129;nein;6;1;1
BHW Bausparkasse Aktiengesellschaft;Hameln;NI;64.19.6;0;0;nein;9;1;0
Bilcare Research GmbH;Staufen im Breisgau;BW;46.76.0;0;0;nein;0;0;0
BIO COMPANY GmbH;Berlin;BE;47.11.1;42084091;1477;nein;0;0;0
Biotest Aktiengesellschaft;Dreieich;HE;72;1042300000;1639;nein;6;3;1
BK Giulini GmbH;Ludwigshafen/Rh.;RP;64.20.0;8552000000;0;nein;5;2;0
Blume 2000 Blumen-Handelsgesellschaft mbH;Norderstedt;SH;01.19.1;0;0;nein;3;1;0
BMW Bank GmbH;München;BY;64.19;0;0;nein;6;1;0
bnNETZE GmbH;Freiburg im Breisgau;BW;35;0;0;nein;3;0;0
Bochum-Gelsenkirchener Straßenbahnen Aktiengesellschaft;Bochum;NW;49.31.0;0;0;nein;12;4;0
Boll & Kirch Filterbau Gesellschaft mit beschränkter Haftung;Kerpen;NW;28.29.0;163286000;688;nein;3;1;0
Bombardier Transportation GmbH;Berlin;BE;30.20.1;0;0;nein;16;5;0
Bonnfinanz Aktiengesellschaft für Vermögensberatung und Vermittlung;Bonn;NW;66.19.0;0;0;nein;3;0;0
BP Lingen GmbH;Lingen;NI;09. Jan;0;0;nein;3;1;0
BP Oil Marketing GmbH;Bochum;NW;19. Feb;0;0;nein;3;0;0
Braunschweiger Verkehrs-GmbH;Braunschweig;NI;49.31;0;0;nein;12;2;0
BREMER LAGERHAUS-GESELLSCHAFT -Aktiengesellschaft von 1877-;Bremen;HB;41.20.1;707897000;8482;ja;0;0;
BT Berlin Transport GmbH;Berlin;BE;49.31.0;0;0;nein;9;5;0
BTC Business Technology Consulting AG;Oldenburg;NI;62.02.0;0;0;nein;6;1;0
Bundesdruckerei GmbH;Berlin;BE;43.21.0;632243150;2635;nein;12;3;0
CANCOM SE;München;BY;64.20;838141000;3206;nein;5;2;1
Capgemini Deutschland GmbH;Berlin;BE;62.01.9;0;0;nein;12;1;0
Capital One AG;München;BY;70.10;0;0;nein;4;0;1
CARGILL GmbH;Salzgitter;NI;46.31;0;0;nein;3;1;0
Carrier Kältetechnik Deutschland GmbH;Köln;NW;28.25.0;0;0;nein;3;1;0
Catalent Germany Eberbach GmbH;Eberbach;BW;21.20.0;0;0;nein;3;1;0
Catalent Germany Schorndorf GmbH;Schorndorf;BW;21.20.0;0;0;nein;3;0;0
Caterpillar Global Mining Europe GmbH;Lünen;NW;28.92.1;0;0;nein;6;2;0
Caterpillar Global Mining HMS GmbH;Dortmund;NW;28.49.1;0;0;nein;6;2;0
Central Krankenversicherung Aktiengesellschaft;Köln;NW;65;0;0;nein;6;2;0
Centrotec Sustainable AG;Brilon;NW;62.0;568206000;3067;nein;3;0;1
Ceravis AG;Rendsburg;SH;01.11.2000;361664000;630;nein;6;0;0
Cerner Health Services Deutschland GmbH;Idstein;HE;62.01.9;0;0;nein;3;1;0
CHEMETALL GMBH;Frankfurt am Main;HE;46.75;0;0;nein;6;0;0
Chemion Logistik GmbH;Leverkusen;NW;52.29.1;0;0;nein;3;0;0
Claas Kommanditgesellschaft auf Aktien mbH;Harsewinkel;NW;46.6;3232766000;10433;nein;12;1;0
comdirect bank Aktiengesellschaft;Quickborn/Krs. Pinneberg;SH;64.19.1;26914835000;1481;nein;6;3;1
Commerz Direktservice GmbH;Duisburg;NW;64;0;0;nein;6;1;0
Commerz Real AG;Eschborn;HE;64.20;0;0;nein;9;4;0
Commerz Real AG;Wiesbaden;HE;66.19;0;0;nein;9;4;0
COMMERZBANK Aktiengesellschaft;Frankfurt am Main;HE;64.19.1;4,52E+11;35803;ja;20;7;
Compass Group Deutschland GmbH;Eschborn;HE;64.20.0;350592000;14355;nein;16;5;0
Concordia Versicherungs-Gesellschaft auf Gegenseitigkeit;Hannover;NI;65;3904634040;1479;nein;6;2;0
Conrad Electronic SE;Hirschau;BY;47.78.9;0;0;nein;5;1;0
Constantin Medien AG;Ismaning;BY;70.10.9;91038000;376;nein;6;1;1
Constellium Deutschland GmbH;Singen Hohentwiel;BW;70.10;0;0;nein;12;2;0
Constellium Singen GmbH;Singen Hohentwiel;BW;24.42.0;0;0;nein;6;1;0
