Staat;2021-05;;2021-06;;2021-07;;2021-08;;2021-09;;2021-10;;2021-11;;2021-12;;2022-01;;2022-02;;2022-03;;2022-04
Euroraum - 19 Länder (ab 2015);13642;;31970;;40745;;20099;;33160;;7218;;9733;;22452;;-2598;;6548;;8656;;
Europäische Union - 27 Länder (ab 2020);23851,3;;40802,3;;38932,4;;22419,3;;38879,2;;5806,8;;12891,9;;19352;;-10823,9;;2032,3;;568,4;;-6298
Europäische Union - 28 Länder (2013-2020);;;;;;;;;;;;;;;;;;;;;;;
Belgien;-993;;474;;1099;;-332;;1550;;386;;-3074;;-3561;;-824;;22;;-1404;;-3029
Bulgarien;-112,2;;232,5;;362;;379,9;;88,2;;-194,6;;-505,1;;-644,1;;-584;;106,2;;-312;;163
Tschehien;55,7;;-523,3;;-943,4;;-1739,6;;-604,4;;-568,8;;-470,6;;-1080,1;;409,8;;-320,4;;-400;;-417,7
Dänemark;2406,5;;3137,8;;3109,3;;2157,9;;2960,8;;3363,1;;3351,4;;2260,2;;2002,8;;2804,8;;527,3;;2946,1
Deutschland (bis 1990 früheres Gebiet der BRD);15757;;25147;;20669;;16987;;23509;;19141;;21403;;24623;;12519;;21057;;18768;;7441
Estland;-86,4;;-462,4;;-22;;35,9;;91,6;;50,9;;50;;253,3;;115,9;;-6,8;;6,5;;-252
Irland;;;;;;;;;;;;;;;;;;;;;;;
Griechenland;-1357;;-1312;;570;;1465;;-257;;-916;;-2535;;-1700;;-2013;;-2132;;-2358;;-1616
Spanien;1041;;511;;2452;;568;;1473;;3287;;1452;;27;;-2600;;246;;1201;;
Frankreich;-5999;;-394;;5444;;-3549;;-576;;-1350;;281;;2855;;-2330;;-5453;;-7278;;-513
Kroatien;-284,1;;-138;;1267,5;;2304,6;;853,4;;-72,8;;-192,3;;-185,1;;;;;;;;
Italien;4283;;5191;;8431;;4540;;3477;;2027;;1504;;1014;;-5710;;-1563;;828;;-2190
Zypern;;;;;;;;;;;;;;;;;;;;;;;
Lettland;-174;;-224;;-308;;-153;;-45;;-52;;83;;187;;-117;;-91;;-367;;-238
Litauen;-52,6;;65;;-151,8;;91,1;;145;;237,9;;-28,6;;-29,9;;45,6;;-131,2;;-342,7;;-468,5
Luxemburg;838;;276;;-97;;529;;-1128;;491;;-598;;-1238;;-114;;-20;;685;;742
Ungarn;-455,4;;230,7;;-542,1;;-1188,4;;-310,7;;-891,4;;-584;;-1028,2;;-763;;-793,4;;-780,8;;-780,4
Malta;-125,3;;-168,9;;-151,4;;7,2;;-57,7;;35,3;;-28,9;;-177,8;;-30,5;;-24,4;;37,9;;-15,1
Niederlande;;;;;;;;;;;;;;;;;;;;;;;
Österreich;;;;;;;;;;;;;;;;;;;;;;;
Polen;490,3;;-464,6;;-1016,5;;-527,5;;-1817,6;;-1166,7;;-1076,6;;-2491,3;;-638,6;;-2665,6;;-2977,6;;-3922,3
Portugal;-944;;43;;-170;;559;;-167;;235;;-472;;-660;;-439;;-630;;-412;;-661
Rumänien;-1582,9;;-1504,1;;-1903,8;;-1308,1;;-1872;;-1558,2;;-1317,5;;-1565,7;;-672,9;;-1807,2;;-2195,1;;-3367,2
Slowenien;109;;112,7;;139,8;;92,3;;135,5;;168,4;;135,1;;-159,4;;95,2;;-235;;-176,9;;-36,9
Slowakei;-16,4;;-352,2;;-197,4;;-298,9;;-372,4;;88,5;;-340,8;;-721,4;;-704,1;;-690,5;;-890,2;;-788,4
Finnland;180;;634;;515;;384;;1129;;-1787;;780;;1067;;-61;;-312;;-1222;;-2286
Schweden;4210,6;;-682,4;;2804,7;;1246,4;;2303,4;;3255,8;;3138,5;;582,8;;1613,4;;1744,7;;2120,4;;1087,2
Vereinigtes Königreich;;;;;;;;;;;;;;;;;;;;;;;
Nordmazedonien;-5,4;;3;;90,8;;-7,6;;15,8;;-62,6;;-109,3;;-174,6;;;;;;;;
Serbien;-142;;-338;;-252;;-299;;-214;;-269;;-160;;-576;;-172;;-704;;-485;;-460
